Node	Occurrences	Present in network(s)	Cited in paper(s)
H4N7F1	1	[685;P41222]	[10.1126/science.abb9983, 10.1021/acs.jproteome.9b00753, 10.1021/acs.analchem.8b01051, 10.1016/S0021-9258(18)54122-3, 10.18632/oncotarget.26005, 10.1021/pr500238v, 10.1021/acs.analchem.1c00893, 10.1021/bi00067a029, 10.1042/bj3160427, 10.1021/acs.analchem.8b01137]
H4N6F1	7	[346;P14151, 603;P00750, 57;P04114, 2727;P14094, 613;P07911, 371;P10252, 230;P01876]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/cwaa101, 10.1093/glycob/10.3.251, 10.1021/acs.analchem.8b01137, 10.1046/j.1432-1033.2002.03111.x, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.1016/S0021-9258(18)54122-3, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1111/j.1470-8744.1996.tb00399.x, 10.1016/0003-9861(90)90511-v]
H6N3G1	2	[790;P07288, 613;P07911]	[10.18632/oncotarget.26005]
H5N4F1S3	1	[718;P02763]	[10.1111/j.1432-1033.1991.tb15719.x, 10.1042/ba19990105, 10.1016/0304-4165(94)00191-y, 10.1016/j.isci.2021.102323, 10.1021/acs.analchem.0c01794]
H5N4F1S1	42	[21;P02760, 1931;Q9P232, 680;P08581, 1601;P80108, 1919;Q8NI99, 2403;P09055, 821;Q92823, 1401;P35858, 663;P05154, 1928;Q92496, 1533;Q9NY97, 1108;O75503, 784;Q96PD5, 1984;P19320, 1942;P14651, 1051;P04003, 726;P27169, 2148;P15209, 1946;P17181, 695;P05546, 1281;Q8NBJ4, 750;P05543, 1145;P06681, 797;Q9HDC9, 1081;P07711, 1429;P29622, 1929;P17927, 1937;P52799, 1153;P36980, 1781;Q4LDE5, 1974;Q6UXD5, 1052;P20851, 2480;Q8BLK3, 1914;Q8IZF2, 668;Q13201, 562;P04278, 285;P19823, 731;P43652, 1944;Q8TDY8, 986;Q13510, 1917;Q16706, 714;P03952]	[10.1016/0014-5793(90)80361-l, 10.1016/s0021-9258(20)64312-5, 10.1046/j.1432-1327.1999.00766.x, 10.1038/s41598-018-20331-2, 10.1093/oxfordjournals.jbchem.a133671, 10.1093/oxfordjournals.jbchem.a123807, 10.1021/acs.analchem.8b01051, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1093/glycob/8.11.1053, 10.1021/acs.jproteome.5b00756, 10.3390/pharmaceutics13111747, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1016/j.jprot.2014.02.005, 10.1111/j.1432-1033.1995.tb20350.x, 10.1006/bbrc.2001.5382, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1038/s41592-021-01309-x, 10.1002/elps.11501401205, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1982.tb05803.x, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/ac4009995, 10.1111/j.1432-1033.1982.tb06694.x, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1111/j.1432-1033.1996.0076n.x, 10.1111/j.1432-1033.1981.tb06250.x, 10.1016/s0021-9258(18)50617-7, 10.1023/a:1019640312730, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1997.00334.x, 10.1042/ba19990105, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1074/mcp.M114.039537, 10.1021/pr200397h, 10.1021/pr400196s, 10.1111/j.1432-1033.1992.tb17362.x, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.1074/mcp.O114.046748, 10.1111/j.1432-1033.1993.tb17702.x, 10.1016/s0008-6215(99)00254-2, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.4049/jimmunol.173.11.6831, 10.1021/pr900956x, 10.1016/B978-0-12-058756-8.50035-3, 10.1046/j.1432-1327.1999.00105.x, 10.1016/j.jchromb.2008.05.006, 10.1007/bf00318054, 10.1016/s0021-9258(19)30077-8, 10.1111/j.1432-1033.1993.tb18200.x, 10.1016/0014-5793(95)00441-b, 10.1074/mcp.RA120.002295, 10.1023/a:1006915200989, 10.1021/acs.analchem.0c01794, 10.1002/pmic.201300270, 10.1074/jbc.M009361200, 10.1021/pr500414q, 10.1006/prep.2001.1501, 10.1046/j.1432-1327.1998.2530485.x, 10.1046/j.1432-1327.2001.02321.x, 10.1021/bi035278t, 10.1046/j.1432-1327.2001.01985.x, 10.1073/pnas.1320544111, 10.1007/s00216-014-8226-5, 10.1016/s0378-4347(99)00330-8, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1093/glycob/4.5.617, 10.1074/jbc.270.41.24116, 10.1016/j.chom.2020.08.004, 10.1006/abio.1995.1201, 10.1111/j.1432-1033.1992.tb16863.x, 10.1016/0021-9673(90)85022-n, 10.1111/j.1432-1033.1992.tb17090.x, 10.1007/bf00731362, 10.1074/mcp.M112.024018, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1074/jbc.M004298200, 10.1093/glycob/cwh031, 10.1002/pmic.201400038, 10.1371/journal.pgen.1003225, 10.1111/j.1432-1033.1990.tb15281.x, 10.1093/glycob/9.9.915, 10.1021/bi961075b, 10.1016/s0021-9258(19)69839-x, 10.1093/oxfordjournals.jbchem.a022585, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/bi00223a015, 10.1093/glycob/9.3.227, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1993.tb18434.x, 10.1084/jem.20142182, 10.1093/glycob/10.3.251, 10.1006/abbi.1994.1216, 10.1016/0008-6215(90)84171-p, 10.1101/853036, 10.1073/pnas.1309417110, 10.1006/abbi.1994.1293, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1681/ASN.2006040388, 10.1126/science.abb9983, 10.1111/j.1432-1033.1988.tb13966.x, 10.1021/ac402338u]
H5N4F1S2	22	[1617;O00592, 1785;Q7Z7G0, 1350;Q29718, 1341;P30484, 1347;Q29836, 1204;Q6P179, 1337;P30475, 1364;P30505, 1984;P19320, 1942;P14651, 1029;Q16620, 1362;Q9TNN7, 1359;P30501, 1332;P30464, 1944;Q8TDY8, 1333;P30466, 1101;Q9BY67, 1356;Q95604, 1862;P20231, 1922;Q9BYE9, 1934;Q93070, 1352;P30508]	[10.1016/0014-5793(90)80361-l, 10.1016/s0021-9258(20)64312-5, 10.1046/j.1432-1327.1999.00766.x, 10.1093/oxfordjournals.jbchem.a133671, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01051, 10.1002/jms.1190300415, 10.1016/0014-5793(90)81427-p, 10.1016/0003-2697(92)90367-g, 10.1074/jbc.275.11.7731, 10.1093/glycob/8.11.1053, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1093/glycob/3.6.597, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1093/oxfordjournals.jbchem.a124102, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1016/j.jprot.2014.02.005, 10.1111/j.1432-1033.1995.tb20350.x, 10.1006/bbrc.2001.5382, 10.1021/bi00241a008, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1007/bf00731640, 10.1002/elps.11501401205, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1982.tb05803.x, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1111/j.1432-1033.1982.tb06694.x, 10.1111/j.1432-1033.1996.0076n.x, 10.1111/j.1432-1033.1981.tb06250.x, 10.1021/pr500506z, 10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1995.tb20647.x, 10.1111/j.1432-1033.1997.00334.x, 10.1111/j.1432-1033.1990.tb15474.x, 10.1016/0304-4165(83)90130-7, 10.1042/ba19990105, 10.7150/thno.65398, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1016/j.isci.2021.102323, 10.1042/bj1070341, 10.1074/mcp.M114.039537, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/pr400196s, 10.1093/oxfordjournals.jbchem.a121897, 10.1093/glycob/10.9.901, 10.1111/j.1432-1033.1992.tb17362.x, 10.1016/0003-9861(91)90107-t, 10.1074/mcp.O114.046748, 10.1016/0167-4838(94)90119-8, 10.1111/j.1432-1033.1993.tb17702.x, 10.1093/glycob/4.2.227, 10.1016/s0008-6215(99)00254-2, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1093/oxfordjournals.jbchem.a124143, 10.1016/0014-5793(88)80024-3, 10.4049/jimmunol.173.11.6831, 10.1021/pr900956x, 10.1021/ac9801059, 10.1016/B978-0-12-058756-8.50035-3, 10.1046/j.1432-1327.1999.00105.x, 10.1016/j.jchromb.2008.05.006, 10.1007/bf01891990, 10.1007/bf00318054, 10.1016/s0021-9258(19)30077-8, 10.1093/glycob/1.4.393, 10.1111/j.1432-1033.1993.tb18200.x, 10.1016/0014-5793(95)00441-b, 10.1074/mcp.RA120.002295, 10.1023/a:1006915200989, 10.1002/pmic.201300270, 10.1021/acs.analchem.0c01794, 10.1074/jbc.M009361200, 10.1006/prep.2001.1501, 10.1021/pr500414q, 10.1046/j.1432-1327.2001.02321.x, 10.1021/bi035278t, 10.1016/s0021-9258(18)34193-0, 10.1046/j.1432-1327.2001.01985.x, 10.1073/pnas.1320544111, 10.1007/s00216-014-8226-5, 10.1021/pr400714w, 10.1016/s0378-4347(99)00330-8, 10.1074/jbc.M504528200, 10.1074/jbc.270.41.24116, 10.1093/glycob/4.5.617, 10.1016/j.chom.2020.08.004, 10.1006/abio.1995.1201, 10.1016/0021-9673(90)85022-n, 10.1111/j.1432-1033.1992.tb16863.x, 10.1021/bi971137d, 10.1074/mcp.M112.024018, 10.1016/j.jaci.2014.02.025, 10.1016/s0021-9258(18)47838-6, 10.1074/jbc.M004298200, 10.1002/pmic.201400038, 10.1021/bi00217a006, 10.1042/bj2850275, 10.1016/0304-4165(94)00191-y, 10.1111/j.1432-1033.1990.tb15281.x, 10.1371/journal.pgen.1003225, 10.1021/bi961075b, 10.1093/glycob/9.9.915, 10.1016/s0021-9258(19)69839-x, 10.1016/s0021-9258(19)70378-0, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/bi00223a015, 10.1111/j.1432-1033.1993.tb17732.x, 10.1111/j.1432-1033.1991.tb15719.x, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1993.tb18434.x, 10.1093/glycob/10.3.251, 10.1093/clinchem/36.6.879, 10.1093/oxfordjournals.jbchem.a133680, 10.1111/j.1432-1033.1990.tb19332.x, 10.1101/853036, 10.1073/pnas.1309417110, 10.1006/abbi.1994.1293, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1681/ASN.2006040388, 10.1126/science.abb9983, 10.1093/abbs/gmt110, 10.1111/j.1432-1033.1988.tb13966.x, 10.1021/ac402338u]
H5N5F2	14	[1956;P22897, 21;P02760, 355;P11279, 2947;O00300, 1592;P50897, 2935;Q6WN34, 1502;Q16853, 2957;P0DTC2, 1171;Q02487, 1710;P04626, 1180;P78536, 625;P04004, 998;O00468, 1611;P16671]	[10.1093/glycob/9.8.823, 10.1021/acs.jproteome.9b00753, 10.1016/s0021-9258(19)50338-6, 10.1093/glycob/10.9.901, 10.1021/ac4006556, 10.1371/journal.ppat.1009232, 10.1046/j.1432-1327.1999.00766.x, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1042/bj2780505, 10.1021/pr500575r, 10.1021/bi00447a017, 10.1093/glycob/10.5.511, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1021/pr500394z]
H5N5F3	18	[1419;P18564, 19;P01011, 607;P02786, 1406;P17301, 1442;P07942, 1512;P55083, 650;P78324, 1863;Q9UJT0, 1086;P25063, 1441;O15230, 1747;Q5TFQ8, 1766;Q92673, 1521;Q6W4X9, 613;P07911, 1908;Q13433, 1088;P08962, 1090;P48960, 1408;P23229]	[10.1042/bj2780505, 10.1126/science.abb9983, 10.1021/acs.jproteome.9b00753, 10.1016/s0021-9258(19)50338-6, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.8b01137]
H7N5F1S2	9	[161;P02751, 1801;Q96J42, 2988;P08637, 1757;P05026, 702;Q13790, 1794;P22105, 1636;P12273, 592;P40225, 1207;P42892]	[10.1021/acs.jproteome.9b00753, 10.18632/oncotarget.26005, 10.1016/s0021-9258(19)70378-0, 10.1021/acs.analchem.8b01137, 10.1111/j.1432-1033.1989.tb15206.x]
H5N5G1	1	[613;P07911]	[10.18632/oncotarget.26005]
H7N2	64	[2443;Q9R1V6-10, 1563;Q6PIU2, 2565;O88998, 1003;A8K2U0, 1000;Q6UW56, 2102;Q7TNS7, 2456;Q60675, 2607;Q9R0E2, 1636;P12273, 2360;Q6PD26, 1203;Q9NZ08, 1224;Q5UCC4, 2828;P56695, 2117;Q8BS35, 1574;P69849, 2771;Q8BJ83, 1037;P08236, 2819;Q9DBH5, 1775;Q9UBS9, 1062;O43852, 2157;Q920P3, 1627;Q7Z388, 1558;Q9Y639, 2449;Q9JHP7, 1225;Q96HE7, 1738;P49591, 2150;Q91YY2, 2571;Q8BGT0, 1180;P78536, 2401;P05555, 629;Q6YDN9, 2699;Q9Z123, 1373;P04229, 7;P02718, 2185;Q00493, 2577;Q61576, 1719;O00584, 1846;Q9BVK6, 2321;P26048, 590;Q8BYI9, 1902;Q14508, 1369;Q30167, 2344;Q9Z2W8, 653;P98160, 1405;P56199, 1663;Q8NBL1, 2775;Q9ER38, 1776;O94901, 2620;O88668, 2112;Q9D7N9, 2558;O35684, 2198;O54901, 2722;Q8BJI1, 1589;Q86WC4, 7;P02712, 1573;Q5JPE7, 1903;O76024, 1572;Q15155, 1431;Q7Z4H8, 981;Q6PK18, 1712;Q15293, 1106;Q9HA82, 1771;Q13586, 1376;Q9TQE0]	[10.1016/s0021-9258(19)50338-6, 10.1093/glycob/11.10.791, 10.1006/abbi.1994.1055, 10.1271/bbb1961.54.3259, 10.1093/glycob/10.8.837, 10.1016/0003-9861(82)90550-1, 10.1007/bf00731292, 10.1111/j.1432-1033.1991.tb15995.x, 10.1007/bf00731153, 10.1016/S0021-9258(19)50314-3, 10.1006/abio.2000.4737, 10.1111/j.1432-1033.1990.tb19409.x, 10.1074/jbc.M100573200, 10.1023/a:1006999718552, 10.1021/acs.analchem.8b01051, 10.1515/bchm3.1995.376.9.531, 10.1074/jbc.275.11.7731, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.1042/bj2270795, 10.1093/oxfordjournals.jbchem.a022707, 10.1073/pnas.96.8.4692, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1093/glycob/10.3.295, 10.1093/glycob/5.2.227, 10.1016/j.jprot.2014.02.005, 10.1016/0166-6851(88)90011-4, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1093/glycob/11.4.261, 10.1104/pp.119.2.725, 10.1042/0264-6021:3570167, 10.1016/j.jprot.2014.03.040, 10.18632/oncotarget.26005, 10.1016/0008-6215(94)84234-5, 10.1021/bi00067a029, 10.1093/glycob/cwg023, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1006/abbi.2000.1806, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1021/bi00145a013, 10.1021/ac4006556, 10.1021/bi00239a013, 10.1046/j.1432-1327.1999.00859.x, 10.1021/bi00195a022, 10.1093/glycob/10.12.1347, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1006/bbrc.1993.2412, 10.1016/0008-6215(94)84015-6, 10.1093/glycob/10.6.551, 10.1016/s0021-9258(19)76439-4, 10.1007/bf01189081, 10.1093/glycob/10.9.901, 10.1016/s0021-9258(18)90588-0, 10.1074/mcp.O114.046748, 10.1074/jbc.272.14.9062, 10.1016/s0304-4165(00)00128-8, 10.1093/glycob/8.7.663, 10.1016/s0021-9258(18)52295-x, 10.1007/bf00731639, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831, 10.1016/j.jchromb.2008.05.006, 10.1093/glycob/9.1.21, 10.1021/bi00405a022, 10.1271/bbb.59.507, 10.1006/abbi.1995.1255, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/cwaa052, 10.1093/glycob/10.9.941, 10.1074/jbc.M002693200, 10.1074/mcp.RA120.002295, 10.1021/ac015618l, 10.1093/glycob/11.3.195, 10.1074/jbc.M009361200, 10.1021/pr500414q, 10.1006/abio.1993.1085, 10.1093/glycob/9.5.443, 10.1016/s0166-6851(96)02780-6, 10.1046/j.1432-1327.2001.01985.x, 10.1021/bi00210a019, 10.1073/pnas.1320544111, 10.1016/s0021-9258(19)69207-0, 10.1021/pr400714w, 10.1074/jbc.M504528200, 10.1007/s13361-013-0823-6, 10.1074/jbc.M511023200, 10.1021/ac900231w, 10.1093/glycob/2.4.299, 10.1046/j.1432-1033.2002.03244.x, 10.1016/j.chom.2020.08.004, 10.1016/0021-9673(90)85022-n, 10.1093/oxfordjournals.jbchem.a123767, 10.1016/s0021-9258(19)38336-x, 10.1074/mcp.M112.024018, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1271/bbb.56.215, 10.1093/glycob/6.6.611, 10.1007/bf00702201, 10.1093/oxfordjournals.jbchem.a003169, 10.1111/j.1432-1033.1990.tb15350.x, 10.1111/j.1432-1033.1990.tb19122.x, 10.1111/j.1432-1033.1990.tb15281.x, 10.1093/glycob/5.6.589, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.8b00796, 10.1111/j.1432-1033.1989.tb15206.x, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1111/j.1432-1033.1985.tb09161.x, 10.1006/abbi.1993.1595, 10.1093/glycob/10.3.251, 10.1016/0042-6822(90)90095-9, 10.1093/glycob/3.5.465, 10.1007/bf01053193, 10.1101/853036, 10.1006/abio.1999.4026, 10.1006/abbi.2001.2421, 10.1073/pnas.1309417110, 10.1271/bbb.60.1123, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1007/s00425-003-1099-z, 10.1093/oxfordjournals.jbchem.a022033, 10.1016/0003-2697(87)90171-0, 10.1126/science.abb9983, 10.1016/s0166-6851(00)00310-8, 10.1016/j.bbrc.2003.10.094, 10.1021/bi002313c, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1271/bbb.65.2482, 10.1021/ac402338u, 10.1093/glycob/cwh105]
H5N5G2	1	[675;Q61838]	[10.18632/oncotarget.26005]
H7N4	4	[764;Q9UBG0, 1079;P07339, 1019;Q9BXN1, 2932;P47710]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1006/abbi.1993.1595, 10.1021/ac4006556, 10.1021/pr500238v, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/cwaa052, 10.1016/0003-9861(82)90550-1, 10.1016/0161-5890(91)90027-h, 10.1016/0161-5890(90)90103-7, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1016/0161-5890(93)90145-2]
H7N3	4	[550;P01833, 647;P01877, 277;P01591, 230;P01876]	[10.1093/glycob/10.3.251, 10.1093/glycob/cwaa052, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x]
H7N6	11	[19;P01011, 695;P05546, 1601;P80108, 1901;Q5VU97, 625;P04004, 711;Q14624, 713;P00736, 1709;Q15262, 1120;P12259, 45;P17050, 1073;P43155]	[10.1021/bi00145a013, 10.1016/s0021-9258(19)50338-6, 10.1007/bf00731362, 10.1093/glycob/10.3.231, 10.1021/bi00464a020, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1016/0014-5793(80)80850-7, 10.1074/mcp.RA120.002295, 10.1021/bi00217a006, 10.1046/j.1432-1327.2001.01960.x, 10.1021/acs.analchem.8b01051, 10.1016/s0304-4165(00)00083-0, 10.1093/glycob/10.4.421, 10.1074/jbc.M101380200, 10.1073/pnas.86.20.7819, 10.1021/bi00415a038, 10.1021/pr5005482, 10.1074/mcp.M111.013649, 10.1016/0003-9861(90)90511-v, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/bi00617a021, 10.1016/s0021-9258(18)90588-0, 10.1093/oxfordjournals.jbchem.a133680, 10.1021/acs.analchem.8b01137, 10.1021/bi00210a019, 10.1016/s0021-9258(18)68975-6, 10.1126/science.abb9983, 10.1007/bf01053197, 10.1038/nmeth.1392, 10.18632/oncotarget.26005, 10.1002/elps.1150191113, 10.1021/bi00067a029]
H7N5	25	[21;P02760, 607;P02786, 287;P01579, 627;P04275, 356;P13473, 12;P08289, 556;Q921I1, 329;Q14766, 15;F6Y713, 502;P00747, 16;Q3SZR3, 718;P02763, 1479;Q14108, 320;P02788, 11;P09923, 14;P19652, 140;P01588, 1645;P07602, 280;P01871, 513;P00797, 506;P26201, 102;P00742, 810;P01042, 286;P32942, 17;W5P7S6]	[10.1021/acs.jproteome.9b00753, 10.18632/oncotarget.26005, 10.1016/0003-9861(82)90550-1]
H2N2F1	1	[2822;Q9Z1L5]	[10.1006/gcen.1993.1083, 10.1007/bf00731872, 10.1021/bi00464a020, 10.1093/glycob/7.5.635, 10.1074/jbc.271.43.26653, 10.1007/s10719-006-6693-4, 10.1093/glycob/10.8.837, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1993.tb17870.x, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1111/j.1432-1033.1991.tb16302.x, 10.1074/mcp.RA120.002295, 10.1074/jbc.M100573200, 10.7150/thno.65398, 10.1021/acs.jproteome.0c00702, 10.1093/glycob/3.3.249, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1016/s0014-5793(98)01710-4, 10.1111/j.1432-1033.1993.tb18020.x, 10.1016/s0304-4165(00)00128-8, 10.1074/jbc.M606711200, 10.1111/j.1432-1033.1993.tb18022.x, 10.1111/j.1432-1033.1993.tb18321.x, 10.1016/s0008-6215(99)00254-2, 10.1016/j.bbrc.2003.10.094, 10.1074/jbc.M511023200, 10.1006/abbi.1994.1021, 10.1021/bi9918285, 10.18632/oncotarget.26005, 10.1046/j.1432-1033.2002.03244.x, 10.1038/s41598-021-84668-x, 10.1093/glycob/cwg023]
H7N7	32	[1087;Q5ZPR3, 355;P11279, 1455;Q9UIQ6, 1172;Q14126, 1057;Q9UQC9, 655;Q13308, 627;P04275, 356;P13473, 1193;Q9Y5L3, 759;P10909, 1792;P24821, 1085;Q13740, 1042;P21810, 1637;P51888, 1479;Q14108, 320;P02788, 14;P19652, 140;P01588, 1617;O00592, 1645;P07602, 692;P25311, 1242;Q06828, 286;P32942, 1400;Q9NX62, 1765;Q99523, 1261;P19440, 613;P07911, 2940;P06858, 1084;P11717, 1444;P11047, 339;P08575, 736;P16070]	[10.1021/acs.jproteome.9b00753, 10.1111/jth.14861]
H6N3F3	1	[995;Q8IUX7]	[10.1021/acs.analchem.8b01137]
H5N3S1	31	[1406;P17301, 2519;P20917, 2185;Q00493, 1785;Q7Z7G0, 2545;P55066, 1425;Q9NPH3, 1440;Q16363, 2528;Q9JKF6, 525;P08100, 2231;Q9CPW0, 2594;B2RXS4, 1774;O00391, 2372;Q640R3, 2761;Q9QY33, 2611;Q91ZX7, 1630;Q9H3G5, 428;P05164, 676;P02750, 1156;Q8IWV2, 137;P00533, 2965;P01876, 2495;P17047, 2686;Q9D7G0, 815;P15144, 1971;P28827, 350;P01229, 1444;P11047, 771;P17948, 1724;O95171, 1847;Q14956, 2196;Q61490]	[10.1016/j.jchromb.2008.05.006, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1093/glycob/11.10.791, 10.1093/glycob/1.4.393, 10.1038/s41598-018-20331-2, 10.1093/glycob/7.1.67, 10.1620/tjem.166.407, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1021/acs.jproteome.0c00702, 10.1111/j.1432-1033.1990.tb15281.x, 10.1016/j.jprot.2021.104148, 10.1093/glycob/9.9.915, 10.1021/acs.jproteome.8b00796, 10.1021/bi00223a015, 10.1111/j.1432-1033.1989.tb15206.x, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.3390/pharmaceutics13111747, 10.1101/853036, 10.1021/pr500238v, 10.1007/bf01799942, 10.1111/jth.14861, 10.1016/j.jprot.2014.02.005, 10.1021/acs.analchem.8b01137, 10.1007/s00216-014-8226-5, 10.1126/science.abb9983, 10.1007/s13361-013-0823-6, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/jbc.M504528200, 10.1074/jbc.270.41.24116, 10.1038/s41592-021-01309-x, 10.1021/ac402338u, 10.1038/s41598-021-84668-x, 10.1016/0014-5793(94)00547-8]
H5N3S2	13	[1645;P07602, 775;O00754, 1600;Q92626, 1079;P07339, 1978;Q08ET2, 1930;Q12860, 1605;Q96BZ4, 1503;Q13421, 1709;Q15262, 1964;Q8WWZ8, 1842;Q9HD45, 1005;P06280, 110;P01024]	[10.1620/tjem.166.407, 10.1007/bf01799942]
H3N6s1	3	[350;P01229, 195;P01218, 194;P01215]	[10.1016/s0021-9258(18)42373-3, 10.1016/s0021-9258(18)66567-6, 10.1016/s0021-9258(18)41753-x, 10.1006/abio.2001.5199, 10.1093/glycob/2.3.225]
H6N4F2S1	16	[1442;P07942, 1087;Q5ZPR3, 2946;O75888, 1924;P23280, 1052;P20851, 1868;Q9Y274, 1204;Q6P179, 1943;P01880, 1533;Q9NY97, 653;P98160, 815;P15144, 1139;P12111, 1271;P04062, 763;Q9ULI3, 1386;Q9Y6R7, 1479;Q14108]	[10.1021/pr500575r, 10.1371/journal.ppat.1009232, 10.1021/pr500238v, 10.1038/s41598-018-20331-2]
H6N4F2S2	10	[1957;Q9UEW3, 1029;Q16620, 1923;Q9HBB8, 1734;Q92854, 649;P40189, 637;Q76LX8, 1503;Q13421, 714;P03952, 1774;O00391, 1120;P12259]	[10.1038/s41598-018-20331-2]
H8N5S1	1	[315;P03395]	[10.1074/jbc.M101380200]
